Stock Name,Time Frame,Zone,Entry Price,Stop Loss,Legout Date,Validation Issue,Zone Perfection,Entry Date,Status,Diff,Qty,Tgt,Yahoo Symbol,Last Close Price,Highligh,Diff %
INFY,2 HR,SZ,1479.0,1484.0,2025-08-05,All OK Zone ,Perfect Zone,,,-5.0,-10.0,1459.0,INFY.NS,1450.9,,-1.9
JINDALSTEL,2 HR,DZ,947.8,941.0,2025-08-04,All OK Zone ,Perfect Zone,,,6.799999999999955,7.352941176470638,974.9999999999998,JINDALSTEL.NS,984.0,,3.82
JIOFIN,2 HR,DZ,307.5,306.2,2025-07-29,All OK Zone ,Perfect Zone,,,1.300000000000011,38.46153846153813,312.7,JIOFIN.NS,327.1,,6.37
JSWENERGY,2 HR,DZ,481.0,477.4,2025-06-20,Minor Legin TR issue,Not Perfect,,,3.600000000000023,13.8888888888888,495.4000000000001,JSWENERGY.NS,530.6,,10.31
JSWSTEEL,2 HR,DZ,887.0,880.0,2025-01-14,Legin Candle not gud,Doubt Zone,,,7.0,7.142857142857143,915.0,JSWSTEEL.NS,1049.7,,18.34
KALYANKJIL,2 HR,DZ,182.1,178.3,2023-08-11,All Ok Zone,Perfect Zone,,,3.799999999999983,13.15789473684216,197.2999999999999,KALYANKJIL.NS,520.75,,185.97
LODHA,2 HR,SZ,1322.0,1331.4,2025-07-25,1 HR MTF not OK,Perfect Zone,,,-9.400000000000091,-5.319148936170161,1284.4,LODHA.NS,1231.4,,-6.85
LT,2 HR,DZ,2732.0,2724.0,2023-09-07,Candle behind Legin,Not Perfect,,,8.0,6.25,2764.0,LT.NS,3684.0,,34.85
MARUTI,2 HR,DZ,10450.0,10395.0,2024-02-06,All Ok Zone,Perfect Zone,,,55.0,0.9090909090909091,10670.0,MARUTI.NS,12937.0,,23.8
MAXHEALTH,2 HR,DZ,1022.0,1013.0,2025-03-19,All OK Zone ,Perfect Zone,,,9.0,5.555555555555555,1058.0,MAXHEALTH.NS,1221.3,,19.5
MPHASIS,2 HR,SZ,2998.15,3022.3,2025-01-30,All OK Zone ,Perfect Zone,,,-24.15000000000009,-2.070393374741193,2901.55,MPHASIS.NS,2711.0,,-9.58
MPHASIS,2 HR,DZ,1932.0,1916.4,2023-07-14,1 HR MTF not OK,Doubt Zone,,,15.59999999999991,3.205128205128224,1994.4,MPHASIS.NS,2711.0,,40.32
NTPC,2 HR,DZ,261.7,260.35,2023-12-01,All OK Zone ,Perfect Zone,,,1.349999999999966,37.03703703703798,267.0999999999999,NTPC.NS,336.75,,28.68
